model,accuracy_sarcasm,accuracy_normal,degradation,degradation_pct,count_sarcasm,count_normal
svm_bow,0.56,0.8006896551724138,0.2406896551724137,30.060292850990518,50,1450
svm_embeddings,0.6,0.7710344827586207,0.17103448275862076,22.18246869409661,50,1450
bert,0.88,0.9041379310344828,0.024137931034482807,2.6697177726926062,50,1450
