model,pearson_r,pearson_p,spearman_rho,spearman_p
svm_bow,-0.01918695108114864,0.4577503671887679,-0.02654645807416835,0.3042020979621011
svm_embeddings,0.02299909936364883,0.3733979944459183,0.014050396391989928,0.5866185426576966
bert,0.027051052478189522,0.29509914310842383,0.02807467701783723,0.27719802209747346
